,Disease Name,Sentence,Spacy Tokens Target,BERT Tokens Target
1378,malnutrition,Hypertrichosis of the lanugo hair in malnutrition,[0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0 0 1 1 1 1]
1379,,Generalized osteoarthritis and Heberden's nodes,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1380,,Computed tomography: What and how does it measure?,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
1381,catarrh,Pharmacological treatment of catarrh in Iranian traditional medicine,[0 0 0 1 0 0 0 0],[0 0 0 0 0 0 1 1 1 0 0 0 0]
1382,,Evolving options in the management of esophageal perforation,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1383,obesity,Contribution of macronutrients to obesity: implications for precision nutrition,[0 0 0 0 1 0 0 0 0 0],[0 0 0 0 0 0 0 1 0 0 0 0 0]
1384,retinoblastoma,Incidence of retinoblastoma in children born after in-vitro fertilisation,[0 0 1 0 0 0 0 0 0 0 0],[0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0]
1385,penile cancer,The diagnosis and treatment of penile cancer,[0 0 0 0 0 1 1],[0 0 0 0 0 1 1 1]
1386,migraine,Migraine diagnosis and treatment: results from the American Migraine Study II,[1 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0 0 0]
1387,,Alpha‐blockers as medical expulsive therapy for ureteral stones,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1388,rare tumours rare,Rare neuroendocrine tumours: results of the surveillance of rare cancers in Europe project,[1 0 1 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0]
1389,,"Tolerance and intolerance, 1976–1998",[0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
1390,threadworms,"The occurrence of the intestinal threadworms, Strongyloides ratti, in the tissues of rats, following experimental percutaneous infection.",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1391,,A brief overview of Escherichia coli O157: H7 and its plasmid O157,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1392,,Central cholinergic neurons are rapidly recruited by reinforcement feedback,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
1393,,Tympanometry in clinical practice,[0 0 0 0],[0 0 0 0 0 0 0]
1394,erectile dysfunction,Reduced libido and erectile dysfunction: rarely reported side‐effects of methotrexate,[0 0 0 1 1 0 0 0 0 0 0],[0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0]
1395,,How toxic are toxic chemicals in soil?,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
1396,,Biodiversity and disease: a synthesis of ecological perspectives on Lyme disease transmission,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1397,,The role of toxin A and toxin B in Clostridium difficile infection,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1398,,"Hematemesis, melena, and hematochezia",[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
1399,,Hypoglycemia,[0],[0 0 0 0 0 0]
1400,erectile dysfunction,The worldwide prevalence and epidemiology of erectile dysfunction,[0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 1 1 1]
1401,middle ear infections,Fusobacterium necrophorum middle ear infections in children and related complications: report of 25 cases and literature review,[0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
1402,,Effect of infarct location on the in-hospital prognosis of patients with first transmural myocardial infarction.,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1403,gastro - oesophageal reflux disease,Epidemiology of gastro-oesophageal reflux disease: a systematic review,[0 0 1 1 1 1 1 0 0 0 0],[0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0]
1404,lupus lupus,Assessment of patients with systemic lupus erythematosus and the use of lupus disease activity indices,[0 0 0 0 0 1 0 0 0 0 0 1 0 0 0],[0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0]
1405,,The summating potential and Meniere's disease: I. Summating potential amplitude in Meniere and non-Meniere ears,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1406,,Transplantation of human melanocytes.,[0 0 0 0 0],[0 0 0 0 0 0 0 0]
1407,asbestosis,"Asbestos, asbestosis, and cancer: the Helsinki criteria for diagnosis and attribution",[0 0 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
1408,,Nail infections,[0 0],[0 0]
1409,atopic atopic eczema,Atopic and non-atopic eczema,[1 0 0 0 1 1],[1 1 0 0 0 1 1 1 1 1]
1410,,Lysophospholipid receptors,[0 0],[0 0 0 0 0 0 0 0]
1411,fibromyalgia fibromyalgia,Biology and therapy of fibromyalgia. Functional magnetic resonance imaging findings in fibromyalgia,[0 0 0 0 1 0 0 0 0 0 0 0 1],[0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1]
1412,,Acute myeloid leukaemia: challenges and real world data from India,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1413,pelvic inflammatory disease,Diagnosing pelvic inflammatory disease: a comprehensive analysis and considerations for developing a new model,[0 1 1 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0]
1414,,"Manufacturing, composition, and applications of fructose",[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
1415,stomach cancer,Comparison of stomach cancer incidence and survival in four continents,[0 0 1 1 0 0 0 0 0 0],[0 0 1 1 0 0 0 0 0 0]
1416,,Morphology of the drifting osteon,[0 0 0 0 0],[0 0 0 0 0 0 0]
1417,,Video fluorescein angiography: method and clinical application,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
1418,kidney stones kidney,Kidney stones and kidney function loss: a cohort study,[1 1 0 1 0 0 0 0 0 0],[1 1 0 1 0 0 0 0 0 0 0]
1419,,The Importance of the Group A Streptococcus Capsule in the Pathogenesis of Human Infections: A Historical Perspective,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1420,,Gonadotropin-releasing hormone and its analogues,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
1421,,"Ear, nose, and throat manifestations of Sjögren's syndrome: retrospective review of a multidisciplinary clinic.",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1422,,Outcomes of surgical management of xanthelasma palpebrarum,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1423,genital warts,Systematic review of the incidence and prevalence of genital warts,[0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 1 1 1 1]
1424,,Autoimmune Addison disease: pathophysiology and genetic complexity,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1425,septic shock,"Sepsis and septic shock: New definitions, new diagnostic and therapeutic approaches",[0 0 1 1 0 0 0 0 0 0 0 0 0],[0 0 0 1 1 1 0 0 0 0 0 0 0 0 0]
1426,multiple sclerosis,The neuropsychiatry of multiple sclerosis,[0 0 0 1 1],[0 0 0 0 0 0 0 1 1 1 1]
1427,cellulitis,Cellulitis: current insights into pathophysiology and clinical management,[1 0 0 0 0 0 0 0 0],[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0]
1428,,Mitochondria,[0],[0 0 0 0]
1429,,Natural history of venous thromboembolism,[0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
1430,,Pharmacology and safety of phenylpropanolamine,[0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1431,,Diabetes in America,[0 0 0],[0 0 0]
1432,depression,Depression in fathers in the postnatal period: assessment of the Edinburgh Postnatal Depression Scale as a screening measure,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1433,dizziness,The prevalence and characteristics of dizziness in an elderly community,[0 0 0 0 0 1 0 0 0 0],[0 0 0 0 0 1 1 0 0 0 0]
1434,shortness of breath,"Shortness of breath, syncope, and cardiac arrest caused by systemic mastocytosis",[1 1 1 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1435,,Overweight and cancer,[0 0 0],[0 0 0 0]
1436,,Osseointegration–communication of cells,[0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
1437,lewy body dementias dementia with bodies dementia,Lewy body dementias: dementia with Lewy bodies and Parkinson disease dementia,[1 1 1 0 1 1 0 1 0 0 0 1],[1 1 1 1 1 0 1 1 0 0 1 0 0 0 1]
1438,,"Lead poisoning: clinical, biochemical, and haematological aspects of a recent outbreak.",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1439,,Neuropathy,[0],[0 0 0]
1440,bacterial vaginosis,The microbiology of bacterial vaginosis,[0 0 0 1 1],[0 0 0 0 1 1 1 1]
1441,epilepsy,Identification of new epilepsy treatments: issues in preclinical methodology,[0 0 0 1 0 0 0 0 0 0],[0 0 0 1 1 1 0 0 0 0 0 0 0 0 0]
1442,,Bowel cancer,[0 0],[0 0 0]
1443,dystonia,Treatment of dystonia,[0 0 1],[0 0 1 1 1]
1444,,The medial temporal lobe,[0 0 0 0],[0 0 0 0]
1445,,Management of Crohn's disease in adults,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
1446,middle ear infection,A new model for non-typeable Haemophilus influenzae middle ear infection in the Junbo mutant mouse,[0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0]
1447,retinoblastoma,Retinoblastoma,[1],[1 1 1 1 1]
1448,,Virology of middle ear,[0 0 0 0],[0 0 0 0 0 0]
1449,oesophageal cancer,"Minimally invasive versus open oesophagectomy for patients with oesophageal cancer: a multicentre, open-label, randomised controlled trial",[0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1450,menopause,The timing of the age at which natural menopause occurs,[0 0 0 0 0 0 0 0 1 0],[0 0 0 0 0 0 0 0 1 1 1 0]
1451,,Lupus nephritis,[0 0],[0 0 0 0 0 0]
1452,hiatus hernia,The diagnosis and management of hiatus hernia,[0 0 0 0 0 1 1],[0 0 0 0 0 1 1 1]
1453,brain tumours,Clinical effect of interferon in malignant brain tumours,[0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 1 1 1 1]
1454,,Fibroblast growth factors,[0 0 0],[0 0 0 0 0 0]
1455,,The tumor microenvironment,[0 0 0],[0 0 0 0 0 0 0]
1456,,"Effects of α-hydroxy acids on photoaged skin: Apilot clinical, histologic, and ultrastructural study",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1457,ganglion cysts,Treatment of ganglion cysts,[0 0 1 1],[0 0 1 1 1 1]
1458,,Theory of addiction,[0 0 0],[0 0 0]
1459,,"Corticotropin releasing factor, stress and behavior",[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
1460,,Vascular endothelial growth factor,[0 0 0 0],[0 0 0 0 0 0]
1461,coma,Neurological assessment of coma,[0 0 0 1],[0 0 0 1]
1462,,Premature mortality in patients with Addison's disease: a population-based study,[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1463,,The correlation between plantar fascia thickness and symptoms of plantar fasciitis,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1464,chronic kidney disease,Infectious complications in chronic kidney disease,[0 0 0 1 1 1],[0 0 0 1 1 1]
1465,,Acute myeloid leukaemia in adults,[0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
1466,,"Chronic myeloid leukemia in adolescents and young adults: patient characteristics, outcomes and review of the literature",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1467,cystitis,"Demographic, clinical, and treatment parameters influencing the outcome of acute cystitis",[0 0 0 0 0 0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1]
1468,bone cancer,Neurochemical and cellular reorganization of the spinal cord in a murine model of bone cancer pain,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0]
1469,mouth ulcers,Systemic interventions for recurrent aphthous stomatitis (mouth ulcers),[0 0 0 0 0 0 0 1 1 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0]
1470,cystic fibrosis,Mucolytics in cystic fibrosis,[0 0 1 1],[0 0 0 0 0 1 1 1 1 1]
1471,,Modern evaluation of the endometrium,[0 0 0 0 0],[0 0 0 0 0 0 0 0]
1472,,Suppl 1: the normal synovium,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
1473,lupus,Predictors of organ damage in systemic lupus erythematosus: the Hopkins Lupus Cohort,[0 0 0 0 0 0 1 0 0 0 0 0 0],[0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0]
1474,cancer mouth,Risk factors for cancer of the tongue and the mouth. A case‐control study from northern Italy,[0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0],[0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
1475,,De quervain tenosynovitis of the wrist,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
1476,hyperhidrosis,Impact of hyperhidrosis on quality of life and its assessment,[0 0 1 0 0 0 0 0 0 0],[0 0 1 1 1 0 0 0 0 0 0 0]
1477,liver disease,"Projected prevalence and mortality associated with alcohol-related liver disease in the USA, 2019–40: a modelling study",[0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0]
1478,mouth cancer,Alcohol and mouth cancer,[0 0 1 1],[0 0 1 1]
1479,pleurisy,Revisiting tuberculous pleurisy: pleural fluid characteristics and diagnostic yield of mycobacterial culture in an endemic area,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1480,,O tempo redescoberto,[0 0 0],[0 0 0 0 0 0]
1481,dizziness,Causes of persistent dizziness: a prospective study of 100 patients in ambulatory care,[0 0 0 1 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0]
1482,allergic rhinitis,The burden of allergic rhinitis.,[0 0 0 1 1 0],[0 0 0 1 1 1 1 0]
1483,,Brittle fracture in compression,[0 0 0 0],[0 0 0 0]
1484,chronic fatigue syndromes,"Incidence, risk and prognosis of acute and chronic fatigue syndromes and psychiatric disorders after glandular fever",[0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0]
1485,,Communicable disease control in emergencies: a field manual,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
1486,,Results of coronary artery endarterectomy and coronary artery bypass grafting for diffuse coronary artery disease,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1487,,A comparison of three methods for reducing iron‐deficiency chlorosis in soybean,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1488,gallstones,Gallstones,[1],[1 1]
1489,,The dorsal frontoparietal network: a core system for emulated action,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1490,,The first digit problem,[0 0 0 0],[0 0 0 0]
1491,tumours brain,Adolescent CNS tumours: my brain has damaged my life,[0 0 1 0 0 1 0 0 0 0],[0 0 0 1 1 1 0 0 1 0 0 0 0]
1492,motor neurone disease,Diagnosis and management of motor neurone disease,[0 0 0 0 1 1 1],[0 0 0 0 1 1 1 1 1]
1493,brain tumours,Photodynamic therapy of malignant brain tumours: a phase III trial,[0 0 0 0 1 1 0 0 0 0 0],[0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0]
1494,dry mouth,Management of dry mouth,[0 0 1 1],[0 0 1 1]
1495,multiple myeloma multiple myeloma,Multiple myeloma and infections: a population-based study on 9253 multiple myeloma patients,[1 1 0 0 0 0 0 0 0 0 0 0 1 1 0],[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0]
1496,,Antihypertensives,[0],[0 0 0 0 0]
1497,hiatus hernia,Anatomy of the crura of the diaphragm and the surgery of hiatus hernia,[0 0 0 0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1]
1498,,The natural history of borderline isolated systolic hypertension,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
1499,,An epidemiological study of pulmonary arterial hypertension,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
1500,genital herpes,Genital herpes: a review,[1 1 0 0 0],[1 1 1 1 0 0 0]
1501,,The lower esophageal sphincter,[0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
1502,,Osteomalacia–a common disease in elderly women,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
1503,,A quality improvement study of the placement and complications of double-lumen endobronchial tubes,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1504,bile duct cancer,Long-term outcome of extended hemihepatectomy for hilar bile duct cancer with no mortality and high survival rate,[0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0]
1505,,Angiotensin II type 1 receptor blockers,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
1506,,"Acquired immunodeficiency syndrome: epidemiologic, clinical, immunologic, and therapeutic considerations",[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1507,,Laryngeal cancer: epidemiological data from Νorthern Greece and review of the literature,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1508,,Co-morbidities in persons infected with HIV: increased burden with older age and negative effects on health-related quality of life,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1509,,"Epidemiology of alopecia areata, ophiasis, totalis, and universalis: A systematic review and meta-analysis",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1510,idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis (IPF): an overview,[1 1 1 0 0 0 0 0],[1 1 1 1 1 1 1 0 0 0 0 0 0 0]
1511,fibrosis idiopathic pulmonary fibrosis,New cellular and molecular mechanisms of lung injury and fibrosis in idiopathic pulmonary fibrosis,[0 0 0 0 0 0 0 0 0 1 0 1 1 1],[0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 1 1 1 1]
1512,epilepsy,Atlas: epilepsy care in the world,[0 0 1 0 0 0 0],[0 0 1 1 1 0 0 0 0]
1513,,What does dopamine mean?,[0 0 0 0 0],[0 0 0 0 0 0 0]
1514,slapped cheek syndrome,Recognizing slapped cheek syndrome,[0 1 1 1],[0 1 1 1]
1515,,Epidemiology of tinea capitis in Europe: current state and changing patterns,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1516,,The psychological impact of predictive genetic testing for Huntington′ s disease: a systematic review of the literature,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1517,symptoms genital,Symptoms and signs in single and mixed genital infections,[1 0 0 0 0 0 0 1 0],[1 0 0 0 0 0 0 1 1 0]
1518,scabies,Treatment of scabies: newer perspectives,[0 0 1 0 0 0],[0 0 1 1 1 0 0 0]
1519,,Non-traumatic ecchymoses: A literature review from a medico-legal perspective,[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1520,- gastro - oesophageal reflux disease reflux disease,Asia-Pacific consensus on the management of gastro-oesophageal reflux disease: an update focusing on refractory reflux disease and Barrett's oesophagus,[0 1 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0],"[0 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0
 0 0 0]"
1521,,Humoral immunity due to long-lived plasma cells,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
1522,brain tumours,The presenting features of brain tumours: a review of 200 cases,[0 0 0 0 1 1 0 0 0 0 0 0],[0 0 0 0 1 1 1 1 0 0 0 0 0 0]
1523,,Coenzyme A: back in action,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
1524,abdominal aortic aneurysm,Analysis of risk factors for abdominal aortic aneurysm in a cohort of more than 3 million individuals,[0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]
1525,dry mouth dry,Whole saliva and the diagnosis of Sjögren's syndrome: an evaluation of patients who complain of dry mouth and dry eyes. Part 1: Screening tests,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1526,,Patterns of incidence of cancer in teenagers and young adults: implications for aetiology,[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1527,hay fever,Prevalence of asthma and hay fever in England and Wales.,[0 0 0 0 1 1 0 0 0 0 0],[0 0 0 0 1 1 0 0 0 0 0]
1528,,The Wernicke area: Modern evidence and a reinterpretation,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1529,,The Development of Outpatient Clinical Glidepaths™,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
1530,myasthenia gravis,The natural course of myasthenia gravis: a long term follow up study.,[0 0 0 0 1 1 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0]
1531,atrial fibrillation,A novel method for detection of the transition between atrial fibrillation and sinus rhythm,[0 0 0 0 0 0 0 0 0 1 1 0 0 0],[0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0]
1532,,Systemic scleroderma: a clinical study of 727 cases,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
1533,rosacea,Incidence and prevalence of rosacea: a systematic review and meta‐analysis,[0 0 0 0 1 0 0 0 0 0 0],[0 0 0 0 1 1 0 0 0 0 0 0 0 0]
1534,,How to classify Raynaud's phenomenon: long-term follow-up study of 73 cases,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1535,,Management of aneurysmal subarachnoid hemorrhage.,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1536,soft tissue sarcomas,Guidelines for the management of soft tissue sarcomas,[0 0 0 0 0 1 1 1],[0 0 0 0 0 1 1 1 1 1]
1537,,The treatment of laryngeal cancer,[0 0 0 0 0],[0 0 0 0 0 0 0 0]
1538,,Metabolism of noradrenaline in the human,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
1539,,"Abdominal pain in British young people: associations, impairment and health care use",[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1540,,Sleep apnea,[0 0],[0 0 0]
1541,ankylosing spondylitis ankylosing spondylitis,Ankylosing spondylitis assessment group preliminary definition of short‐term improvement in ankylosing spondylitis,[1 1 0 0 0 0 0 0 0 0 1 1],[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1]
1542,hyperglycaemia,"Diabetes, hyperglycaemia, and acute ischaemic stroke",[0 0 1 0 0 0 0 0],[0 0 1 1 1 1 0 0 0 0 0 0 0 0]
1543,,Expression of suppressor of cytokine signaling 1 and 3 in ligature-induced periodontitis in rats,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1544,gastro - oesophageal reflux disease,Pathophysiology of gastro-oesophageal reflux disease,[0 0 1 1 1 1 1],[0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1]
1545,,Hypotonic versus isotonic saline in hospitalised children: a systematic review,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1546,skin cancer,"Prevalence and costs of skin cancer treatment in the US, 2002− 2006 and 2007− 2011",[0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0]
1547,,Beyond goosebumps: does the arrector pili muscle have a role in hair loss?,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
